  x,y,z,rho,u,v,w,p
    -3.483888,     10.722294,      0.100000,      0.633967,    338.873322,    109.141335,      0.000000,  43316.230469
    -3.294888,     10.777086,      0.100000,      0.622194,    345.875946,    102.520782,      0.000000,  42211.019531
    -3.104680,     10.827308,      0.100000,      0.610431,    352.732697,     95.648720,      0.000000,  41114.667969
    -2.913398,     10.872952,      0.100000,      0.598698,    359.429321,     88.533134,      0.000000,  40028.949219
    -2.721166,     10.914004,      0.100000,      0.587012,    365.952606,     81.182877,      0.000000,  38955.542969
    -2.528110,     10.950459,      0.100000,      0.575390,    372.289520,     73.608025,      0.000000,  37896.078125
    -2.334368,     10.982334,      0.100000,      0.563852,    378.427673,     65.819260,      0.000000,  36852.128906
    -2.140058,     11.009627,      0.100000,      0.552413,    384.355530,     57.827908,      0.000000,  35825.179688
    -1.945304,     11.032374,      0.100000,      0.541090,    390.062500,     49.646606,      0.000000,  34816.574219
    -1.750240,     11.050584,      0.100000,      0.529901,    395.538361,     41.288582,      0.000000,  33827.628906
    -1.554988,     11.064295,      0.100000,      0.518860,    400.774078,     32.767281,      0.000000,  32859.527344
    -1.359658,     11.073554,      0.100000,      0.507981,    405.762146,     24.096895,      0.000000,  31913.259766
    -1.164384,     11.078390,      0.100000,      0.497278,    410.495117,     15.292141,      0.000000,  30989.810547
    -0.969276,     11.078866,      0.100000,      0.486765,    414.967194,      6.367477,      0.000000,  30089.931641
    -0.774438,     11.075028,      0.100000,      0.476451,    419.173431,     -2.661836,      0.000000,  29214.339844
    -0.579996,     11.066946,      0.100000,      0.466349,    423.109589,    -11.780372,      0.000000,  28363.654297
    -0.386038,     11.054686,      0.100000,      0.456469,    426.772675,    -20.972967,      0.000000,  27538.355469
    -0.192674,     11.038319,      0.100000,      0.446819,    430.160461,    -30.223913,      0.000000,  26738.861328
     0.000000,     11.017920,      0.100000,      0.437408,    433.272156,    -39.518009,      0.000000,  25965.400391
     0.191890,     10.993558,      0.100000,      0.428243,    436.107391,    -48.840256,      0.000000,  25218.197266
     0.382918,     10.965334,      0.100000,      0.419330,    438.666718,    -58.175854,      0.000000,  24497.339844
     0.572988,     10.933322,      0.100000,      0.410674,    440.952332,    -67.510559,      0.000000,  23802.865234
     0.762038,     10.897628,      0.100000,      0.402279,    442.964569,    -76.830406,      0.000000,  23134.582031
     0.949980,     10.858322,      0.100000,      0.394155,    444.709076,    -86.123329,      0.000000,  22492.945312
     1.136760,     10.815518,      0.100000,      0.386300,    446.169769,    -95.372894,      0.000000,  21877.279297
     1.322306,     10.769298,      0.100000,      0.378823,    447.346741,   -104.557869,      0.000000,  21295.740234
     1.506564,     10.719774,      0.100000,      0.371847,    447.951813,   -113.652092,      0.000000,  20757.568359
     1.689488,     10.667031,      0.100000,      0.366671,    447.751709,   -121.932724,      0.000000,  20359.035156
     1.875398,     10.635925,      0.100000,      0.364030,    446.709808,   -128.819534,      0.000000,  20154.841797
     2.060738,     10.601572,      0.100000,      0.364275,    444.404144,   -133.851089,      0.000000,  20172.136719
     2.245448,     10.563998,      0.100000,      0.369212,    440.397461,   -135.660324,      0.000000,  20554.050781
     2.429470,     10.523196,      0.100000,      0.379638,    434.891815,   -133.520508,      0.000000,  21376.062500
     2.612758,     10.479196,      0.100000,      0.394000,    428.955048,   -128.486649,      0.000000,  22528.484375
     2.795246,     10.432000,      0.100000,      0.408688,    423.909393,   -123.145103,      0.000000,  23723.119141
     2.976880,     10.381628,      0.100000,      0.420005,    420.497437,   -120.021614,      0.000000,  24652.220703
     3.157616,     10.328094,      0.100000,      0.426054,    418.655823,   -120.323891,      0.000000,  25153.041016
     3.337384,     10.271414,      0.100000,      0.427098,    417.855743,   -123.873756,      0.000000,  25243.765625
     3.516134,     10.211604,      0.100000,      0.424636,    417.521149,   -129.750000,      0.000000,  25047.417969
     3.693816,     10.148684,      0.100000,      0.420300,    417.250366,   -136.947235,      0.000000,  24698.712891
     3.870374,     10.082674,      0.100000,      0.415249,    416.841217,   -144.732880,      0.000000,  24293.359375
     4.045754,     10.013586,      0.100000,      0.410095,    416.222961,   -152.710129,      0.000000,  23881.402344
     4.219896,      9.941454,      0.100000,      0.405067,    415.382050,   -160.726639,      0.000000,  23481.556641
     4.392758,      9.866296,      0.100000,      0.400212,    414.315948,   -168.754379,      0.000000,  23097.480469
     4.564276,      9.788126,      0.100000,      0.395525,    413.016418,   -176.803574,      0.000000,  22728.695312
     4.734408,      9.706976,      0.100000,      0.391008,    411.468933,   -184.883728,      0.000000,  22375.123047
     4.903094,      9.622874,      0.100000,      0.386680,    409.654022,   -192.994995,      0.000000,  22038.138672
     5.070296,      9.535838,      0.100000,      0.382572,    407.549988,   -201.131714,      0.000000,  21720.050781
     5.235946,      9.445896,      0.100000,      0.378725,    405.132172,   -209.286819,      0.000000,  21423.748047
     5.400000,      9.353080,      0.100000,      0.375179,    402.371613,   -217.455246,      0.000000,  21152.306641
     5.562410,      9.257403,      0.100000,      0.371980,    399.235138,   -225.632309,      0.000000,  20909.097656
     5.723126,      9.158918,      0.100000,      0.369179,    395.686188,   -233.812836,      0.000000,  20697.814453
     5.882102,      9.057646,      0.100000,      0.366827,    391.685974,   -241.988922,      0.000000,  20522.302734
     6.039284,      8.953609,      0.100000,      0.364978,    387.197235,   -250.148178,      0.000000,  20386.445312
     6.194630,      8.846842,      0.100000,      0.363679,    382.189270,   -258.271576,      0.000000,  20293.830078
     6.348078,      8.737384,      0.100000,      0.362967,    376.643188,   -266.332672,      0.000000,  20247.183594
     6.499602,      8.625268,      0.100000,      0.362858,    370.560211,   -274.298157,      0.000000,  20247.693359
     6.649148,      8.510518,      0.100000,      0.363342,    363.967285,   -282.124786,      0.000000,  20294.566406
     6.796656,      8.393176,      0.100000,      0.364383,    356.920502,   -289.762115,      0.000000,  20384.875000
     6.942110,      8.273284,      0.100000,      0.365911,    349.505768,   -297.154724,      0.000000,  20513.380859
     7.085438,      8.150868,      0.100000,      0.367837,    341.834106,   -304.245270,      0.000000,  20673.019531
     7.226614,      8.025966,      0.100000,      0.370061,    334.030151,   -310.978149,      0.000000,  20855.923828
     7.365580,      7.898622,      0.100000,      0.372485,    326.221222,   -317.303864,      0.000000,  21054.341797
     7.502308,      7.768872,      0.100000,      0.375024,    318.523804,   -323.182800,      0.000000,  21261.726562
     7.636756,      7.636756,      0.100000,      0.377619,    311.035828,   -328.587616,      0.000000,  21473.195312
     7.768872,      7.502316,      0.100000,      0.380230,    303.829041,   -333.506439,      0.000000,  21685.775391
     7.898622,      7.365580,      0.100000,      0.382837,    296.947998,   -337.945526,      0.000000,  21897.888672
     8.025966,      7.226614,      0.100000,      0.385424,    290.411194,   -341.932800,      0.000000,  22108.449219
     8.150868,      7.085438,      0.100000,      0.387968,    284.213684,   -345.518768,      0.000000,  22315.810547
     8.273284,      6.942110,      0.100000,      0.390434,    278.330414,   -348.775482,      0.000000,  22517.134766
     8.393176,      6.796666,      0.100000,      0.392765,    272.719452,   -351.792389,      0.000000,  22708.037109
     8.510518,      6.649148,      0.100000,      0.394891,    267.326538,   -354.668365,      0.000000,  22882.841797
     8.625268,      6.499602,      0.100000,      0.396735,    262.089691,   -357.501709,      0.000000,  23035.318359
     8.737384,      6.348078,      0.100000,      0.398226,    256.943665,   -360.380310,      0.000000,  23159.675781
     8.846842,      6.194630,      0.100000,      0.399310,    251.824371,   -363.373322,      0.000000,  23251.484375
     8.953609,      6.039284,      0.100000,      0.399959,    246.673309,   -366.526611,      0.000000,  23308.277344
     9.057646,      5.882102,      0.100000,      0.400169,    241.440002,   -369.861969,      0.000000,  23329.789062
     9.158918,      5.723126,      0.100000,      0.399964,    236.083130,   -373.380035,      0.000000,  23317.837891
     9.257403,      5.562410,      0.100000,      0.399386,    230.570312,   -377.064484,      0.000000,  23275.916016
     9.353080,      5.400000,      0.100000,      0.398491,    224.878159,   -380.887115,      0.000000,  23208.556641
     9.445896,      5.235946,      0.100000,      0.397343,    218.990051,   -384.812073,      0.000000,  23120.960938
     9.535838,      5.070296,      0.100000,      0.396008,    212.895325,   -388.800568,      0.000000,  23018.535156
     9.622874,      4.903102,      0.100000,      0.394552,    206.587448,   -392.812897,      0.000000,  22906.552734
     9.706976,      4.734408,      0.100000,      0.393034,    200.063156,   -396.810577,      0.000000,  22789.949219
     9.788126,      4.564276,      0.100000,      0.391512,    193.322128,   -400.756989,      0.000000,  22673.294922
     9.866296,      4.392758,      0.100000,      0.390036,    186.366028,   -404.618774,      0.000000,  22560.576172
     9.941454,      4.219896,      0.100000,      0.388650,    179.198563,   -408.364410,      0.000000,  22455.392578
    10.013586,      4.045754,      0.100000,      0.387395,    171.825928,   -411.965576,      0.000000,  22360.843750
    10.082674,      3.870374,      0.100000,      0.386301,    164.256638,   -415.397461,      0.000000,  22279.433594
    10.148684,      3.693816,      0.100000,      0.385394,    156.502274,   -418.637878,      0.000000,  22213.173828
    10.211604,      3.516134,      0.100000,      0.384695,    148.577545,   -421.667938,      0.000000,  22163.562500
    10.271414,      3.337384,      0.100000,      0.384214,    140.500885,   -424.471985,      0.000000,  22131.529297
    10.328094,      3.157618,      0.100000,      0.383957,    132.294189,   -427.038025,      0.000000,  22117.484375
    10.381628,      2.976880,      0.100000,      0.383924,    123.983635,   -429.357513,      0.000000,  22121.322266
