  x,y,z,rho,u,v,w,p
     3.055178,     -3.113833,      0.000000,      0.094456,    398.166077,   -453.118561,      0.000000,   3110.272461
     3.421737,     -3.523205,      0.000000,      0.093825,    397.649872,   -454.224823,      0.000000,   3082.072510
     3.795534,     -3.941584,      0.000000,      0.093333,    397.433014,   -454.942993,      0.000000,   3059.880371
     4.176100,     -4.368312,      0.000000,      0.092916,    397.541229,   -455.297119,      0.000000,   3041.439697
     4.563031,     -4.802966,      0.000000,      0.092514,    397.746735,   -455.537964,      0.000000,   3023.876465
     4.955982,     -5.245181,      0.000000,      0.092118,    397.816956,   -455.890137,      0.000000,   3006.641113
     5.354621,     -5.694813,      0.000000,      0.091696,    397.673615,   -456.465820,      0.000000,   2988.083496
     5.758699,     -6.151876,      0.000000,      0.091300,    397.357330,   -457.149994,      0.000000,   2970.360840
     6.167938,     -6.615623,      0.000000,      0.091026,    396.992188,   -457.720795,      0.000000,   2958.105225
     6.582143,     -7.085767,      0.000000,      0.090886,    396.688873,   -458.085144,      0.000000,   2951.691162
     7.001091,     -7.562027,      0.000000,      0.090856,    396.429474,   -458.283112,      0.000000,   2950.084961
     7.424605,     -8.044211,      0.000000,      0.090920,    396.140839,   -458.384430,      0.000000,   2952.630371
     7.852529,     -8.532096,      0.000000,      0.091071,    395.769958,   -458.442322,      0.000000,   2959.087402
     8.284682,     -9.025485,      0.000000,      0.091311,    395.294586,   -458.474274,      0.000000,   2969.533447
     8.720948,     -9.524194,      0.000000,      0.091658,    394.714203,   -458.450012,      0.000000,   2984.980225
     9.161180,    -10.028035,      0.000000,      0.092124,    394.026703,   -458.357819,      0.000000,   3006.041260
     9.605257,    -10.536890,      0.000000,      0.092722,    393.250366,   -458.176117,      0.000000,   3033.510010
    10.053062,    -11.050516,      0.000000,      0.093459,    392.416443,   -457.910583,      0.000000,   3067.685059
    10.504512,    -11.568888,      0.000000,      0.094329,    391.569580,   -457.560608,      0.000000,   3108.293457
    10.959412,    -12.091541,      0.000000,      0.095320,    390.756165,   -457.128510,      0.000000,   3154.875488
    11.417864,    -12.618594,      0.000000,      0.096363,    390.041992,   -456.685669,      0.000000,   3204.228027
    11.879576,    -13.149821,      0.000000,      0.097374,    389.510040,   -456.302368,      0.000000,   3252.211426
